video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
1334835.0,古刹钟声,电影,"[军事, 悬疑, 战争, 冒险, 乡村, 现代, 剧情, 励志]","[绝望, 年代戏, 乡村, 战争片, 谍战, 残酷, 军事, 野外生存, 怀旧, 黑白电影, 恐怖片, 励志, 剧情片, 冒险片, 反特, 救援, 大陆, 老电影, 抗日, 悬疑, 现代, 特工, 红色经典, 间谍, 追杀, 震撼]","[朱文顺, 朱文悦]","[李希达, 庞学勤, 田烈]",内地,国语,1958-08-01 00:00:00,2015-04-20 23:32:45,4714.0,8.1,0.0,NaN,0.0,0.0,爱奇艺,抗日战争时期，华北某地。我八路军的一座兵工厂突然发生爆炸，保卫部周部长断定是敌人所为，急令侦察科王科长立即侦办，同时派部队搜索追踪。王科长在搜索途中，发现在一座古庙附近有一具尸体和两把刀，周部长认为古庙里大有文章，他安排王科长以养病为由带虎子进庙侦察，奇怪的是庙里只有一老一小俩和尚。小和尚原本不是哑巴，五年前，庙里香火正旺，突然冲进来一伙匪徒把正在念经的众和尚全杀了，幸存下来的小和尚被害成哑巴。通过日夜侦察，王科长发现这里潜伏着一个极其危险的地下特务组织，他们直接受日本特务机关领导，而且正策划下一步破坏活动。紧急时刻，王科长以检查身体为由，准备回去向上级报告。老和尚暗窃，准备在途中对王科长下手，可是他高兴得太早了。,5,5,5,5,5,5,5,5,1830,"","","","",""
1338435.0,鲜花盛开柳絮儿飘 谨防过敏,健康,[资讯],[资讯],"","","","",2015-04-21 00:00:00,2015-04-21 18:30:39,88.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,鲜花盛开柳絮儿飘 谨防过敏。,"","","","","","","","",1829,"","","","",""
1348635.0,地震避难技巧与自救方法,健康,[急救],[急救知识],"","","","",2015-04-27 00:00:00,2015-04-27 13:30:18,93.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,您知道地震避难技巧与自救方法吗？,"","","","","","","","",1823,"","","","",""
1360035.0,宠物“后事”困扰,健康,[综合],[健康喂养],"","","","",2015-05-03 00:00:00,2015-05-03 13:30:15,467.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,宠物“后事”困扰。,"","","","","","","","",1817,"","","","",""
1361835.0,15岁少女过度减肥致闭经,健康,[资讯],[资讯],"","","","",2015-05-04 00:00:00,2015-05-04 16:30:23,111.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,15岁少女过度减肥致闭经。,"","","","","","","","",1816,"","","","",""
1402035.0,沙特为何突然豪掷70亿美元购买S-400导弹,军事,[国际],[国际],"","","","",2015-05-17 00:00:00,2015-05-17 16:30:36,100.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1803,"","","","",""
1403235.0,逗小孩喝酒 两岁男童酒后丧生,健康,[资讯],[资讯],"","","","",2015-05-18 00:00:00,2015-05-18 11:31:11,75.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,逗小孩喝酒，两岁男童酒后丧生。,"","","","","","","","",1802,"","","","",""
1414035.0,【Gymra】告别赘肉5分钟弹力绳训练,健康,[健身],[器械锻炼],"","","","",2015-05-22 00:00:00,2015-05-22 12:31:54,314.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,【Gymra】告别赘肉5分钟弹力绳训练。,"","","","","","","","",1798,"","","","",""
1416435.0,专家支招：冬喝红茶春夏喝绿茶,健康,[综合],[常识],"","","","",2015-05-23 00:00:00,2015-05-23 16:30:50,25.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,专家支招：冬喝红茶春夏喝绿茶。,"","","","","","","","",1797,"","","","",""
1420035.0,中药对精子有无影响,健康,[两性],[男性],"","","","",2015-05-25 00:00:00,2015-05-25 18:32:36,421.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,中药对精子有无影响。,"","","","","","","","",1795,"","","","",""
